year,population_top_n,problem,perfect_solve_count,perfect_solve_rate,nonzero_score_count,nonzero_score_rate,attempted_count,attempted_rate,average_score,average_score_among_attempts
2007,206,B5,39,0.18932038834951456,54,0.2621359223300971,82,0.39805825242718446,2.3058252427184467,5.7926829268292686
2007,206,B6,2,0.009708737864077669,7,0.03398058252427184,35,0.16990291262135923,0.20388349514563106,1.2
2008,189,A1,177,0.9365079365079365,189,1.0,189,1.0,9.788359788359788,9.788359788359788
2008,189,A2,136,0.7195767195767195,160,0.8465608465608465,174,0.9206349206349206,8.285714285714286,9.0
2008,189,A3,67,0.3544973544973545,174,0.9206349206349206,184,0.9735449735449735,7.079365079365079,7.271739130434782
2008,189,A4,74,0.3915343915343915,123,0.6507936507936508,157,0.8306878306878307,5.91005291005291,7.114649681528663
2008,189,A5,32,0.1693121693121693,65,0.3439153439153439,136,0.7195767195767195,2.761904761904762,3.838235294117647
2008,189,A6,11,0.0582010582010582,38,0.20105820105820105,64,0.3386243386243386,1.0476190476190477,3.09375
2008,189,B1,118,0.6243386243386243,164,0.8677248677248677,183,0.9682539682539683,8.201058201058201,8.469945355191257
2008,189,B2,83,0.43915343915343913,155,0.8201058201058201,170,0.8994708994708994,5.9523809523809526,6.617647058823529
2008,189,B3,19,0.10052910052910052,50,0.26455026455026454,104,0.5502645502645502,1.6613756613756614,3.019230769230769
2008,189,B4,81,0.42857142857142855,126,0.6666666666666666,149,0.7883597883597884,5.587301587301587,7.087248322147651
2008,189,B5,17,0.08994708994708994,62,0.328042328042328,127,0.671957671957672,2.5238095238095237,3.7559055118110236
2008,189,B6,12,0.06349206349206349,23,0.12169312169312169,55,0.291005291005291,0.8412698412698413,2.890909090909091
2009,200,A1,193,0.965,199,0.995,200,1.0,9.91,9.91
2009,200,A2,84,0.42,144,0.72,184,0.92,6.25,6.793478260869565
2009,200,A3,81,0.405,101,0.505,140,0.7,4.63,6.614285714285714
2009,200,A4,49,0.245,116,0.58,170,0.85,4.7,5.529411764705882
2009,200,A5,26,0.13,44,0.22,114,0.57,1.655,2.9035087719298245
2009,200,A6,5,0.025,8,0.04,61,0.305,0.38,1.2459016393442623
2009,200,B1,142,0.71,195,0.975,200,1.0,9.225,9.225
2009,200,B2,62,0.31,141,0.705,190,0.95,3.93,4.136842105263158
2009,200,B3,105,0.525,146,0.73,172,0.86,6.68,7.767441860465116
2009,200,B4,56,0.28,80,0.4,139,0.695,3.55,5.107913669064748
2009,200,B5,7,0.035,21,0.105,105,0.525,0.69,1.3142857142857143
2009,200,B6,2,0.01,6,0.03,53,0.265,0.23,0.8679245283018868
2010,188,A1,181,0.9627659574468085,181,0.9627659574468085,188,1.0,9.627659574468085,9.627659574468085
2010,188,A2,103,0.5478723404255319,179,0.9521276595744681,186,0.9893617021276596,8.670212765957446,8.763440860215054
2010,188,A3,30,0.1595744680851064,84,0.44680851063829785,140,0.7446808510638298,3.9627659574468086,5.321428571428571
2010,188,A4,90,0.4787234042553192,124,0.6595744680851063,149,0.7925531914893617,6.25,7.885906040268456
2010,188,A5,26,0.13829787234042554,106,0.5638297872340425,144,0.7659574468085106,2.675531914893617,3.4930555555555554
2010,188,A6,12,0.06382978723404255,24,0.1276595744680851,68,0.3617021276595745,0.9042553191489362,2.5
2010,188,B1,144,0.7659574468085106,179,0.9521276595744681,187,0.9946808510638298,9.063829787234043,9.11229946524064
2010,188,B2,133,0.7074468085106383,181,0.9627659574468085,185,0.9840425531914894,8.75,8.891891891891891
2010,188,B3,152,0.8085106382978723,152,0.8085106382978723,184,0.9787234042553191,8.085106382978724,8.26086956521739
2010,188,B4,37,0.19680851063829788,54,0.2872340425531915,132,0.7021276595744681,2.526595744680851,3.5984848484848486
2010,188,B5,11,0.05851063829787234,42,0.22340425531914893,105,0.5585106382978723,1.7765957446808511,3.1809523809523808
2010,188,B6,24,0.1276595744680851,43,0.22872340425531915,71,0.3776595744680851,1.8138297872340425,4.802816901408451
